timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1536760329286,178,GetJobId,200,OK,Thread Group 1-1,text,true,,392,250,1,1,178,0,119
1536760329543,42,ShopCart,200,OK,Thread Group 1-1,text,true,,289,447,1,1,42,0,0
1536760329585,100,MediaUpload,200,OK,Thread Group 1-1,text,true,,328,102075,1,1,100,0,0
1536760330216,14,GetJobId,200,OK,Thread Group 1-2,text,true,,392,250,2,2,13,0,3
1536760330231,35,ShopCart,200,OK,Thread Group 1-2,text,true,,289,447,2,2,35,0,0
1536760330267,41,MediaUpload,200,OK,Thread Group 1-2,text,true,,328,102090,2,2,41,0,0
1536760331215,14,GetJobId,200,OK,Thread Group 1-3,text,true,,392,250,3,3,14,0,5
1536760331230,31,ShopCart,200,OK,Thread Group 1-3,text,true,,289,447,3,3,31,0,0
1536760331263,43,MediaUpload,200,OK,Thread Group 1-3,text,true,,328,102085,3,3,43,0,0
1536760332220,15,GetJobId,200,OK,Thread Group 1-4,text,true,,392,250,4,4,15,0,6
1536760332236,40,ShopCart,200,OK,Thread Group 1-4,text,true,,289,447,4,4,40,0,0
1536760332277,48,MediaUpload,200,OK,Thread Group 1-4,text,true,,328,102055,4,4,48,0,0
1536760333223,15,GetJobId,200,OK,Thread Group 1-5,text,true,,392,250,5,5,15,0,6
1536760333239,55,ShopCart,200,OK,Thread Group 1-5,text,true,,289,447,5,5,55,0,0
1536760333295,48,MediaUpload,200,OK,Thread Group 1-5,text,true,,328,102085,5,5,48,0,0
1536760334226,20,GetJobId,200,OK,Thread Group 1-6,text,true,,392,250,6,6,20,0,8
1536760334247,72,ShopCart,200,OK,Thread Group 1-6,text,true,,289,447,6,6,72,0,0
1536760334320,69,MediaUpload,200,OK,Thread Group 1-6,text,true,,328,102055,6,6,69,0,0
1536760335226,14,GetJobId,200,OK,Thread Group 1-7,text,true,,392,250,7,7,14,0,6
1536760335241,141,ShopCart,200,OK,Thread Group 1-7,text,true,,289,447,7,7,141,0,0
1536760335382,41,MediaUpload,200,OK,Thread Group 1-7,text,true,,328,102065,7,7,41,0,0
1536760336230,12,GetJobId,200,OK,Thread Group 1-8,text,true,,392,250,8,8,12,0,4
1536760336243,70,ShopCart,200,OK,Thread Group 1-8,text,true,,289,447,8,8,70,0,0
1536760336313,56,MediaUpload,200,OK,Thread Group 1-8,text,true,,328,102075,8,8,56,0,0
1536760337230,15,GetJobId,200,OK,Thread Group 1-9,text,true,,392,250,9,9,15,0,6
1536760337246,141,ShopCart,200,OK,Thread Group 1-9,text,true,,289,447,9,9,141,0,0
1536760337388,61,MediaUpload,200,OK,Thread Group 1-9,text,true,,328,102065,9,9,61,0,0
1536760338230,18,GetJobId,200,OK,Thread Group 1-10,text,true,,392,250,10,10,18,0,7
1536760338249,60,ShopCart,200,OK,Thread Group 1-10,text,true,,289,447,10,10,60,0,0
1536760338310,52,MediaUpload,200,OK,Thread Group 1-10,text,true,,328,102045,10,10,52,0,0
1536760329686,11335,FeatureLayer,200,OK,Thread Group 1-1,text,true,,289,374,10,10,11335,0,0
