timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1536581497174,85,GetJobId,200,OK,Thread Group 1-1,text,true,,391,250,1,1,85,0,6
1536581497302,138,ShopCart,200,OK,Thread Group 1-1,text,true,,289,444,1,1,138,0,0
1536581497440,64,MediaUpload,200,OK,Thread Group 1-1,text,true,,327,102059,1,1,64,0,0
1536581497505,12,GetJobId,200,OK,Thread Group 1-1,text,true,,391,250,1,1,12,0,0
1536581497517,73,ShopCart,200,OK,Thread Group 1-1,text,true,,289,444,1,1,73,0,0
1536581497590,34,MediaUpload,200,OK,Thread Group 1-1,text,true,,327,102044,1,1,34,0,0
1536581497625,14,GetJobId,200,OK,Thread Group 1-1,text,true,,391,250,1,1,14,0,0
1536581497677,16,GetJobId,200,OK,Thread Group 1-2,text,true,,391,250,2,2,16,0,3
1536581497639,215,ShopCart,200,OK,Thread Group 1-1,text,true,,289,444,2,2,215,0,0
1536581497855,49,MediaUpload,200,OK,Thread Group 1-1,text,true,,327,102064,2,2,49,0,0
1536581497693,211,ShopCart,200,OK,Thread Group 1-2,text,true,,289,444,2,2,211,0,0
1536581497904,8,GetJobId,200,OK,Thread Group 1-1,text,true,,391,250,2,2,8,0,0
1536581497912,67,ShopCart,200,OK,Thread Group 1-1,text,true,,289,444,2,2,67,0,0
1536581497904,77,MediaUpload,200,OK,Thread Group 1-2,text,true,,327,102049,2,2,77,0,0
1536581497981,25,GetJobId,200,OK,Thread Group 1-2,text,true,,391,250,2,2,25,0,0
1536581497979,93,MediaUpload,200,OK,Thread Group 1-1,text,true,,327,102044,2,2,93,0,0
1536581498073,10,GetJobId,200,OK,Thread Group 1-1,text,true,,391,250,2,2,10,0,0
1536581498006,85,ShopCart,200,OK,Thread Group 1-2,text,true,,289,444,2,2,85,0,0
1536581498091,38,MediaUpload,200,OK,Thread Group 1-2,text,true,,327,102044,2,2,38,0,0
1536581498130,9,GetJobId,200,OK,Thread Group 1-2,text,true,,391,250,2,2,9,0,0
1536581498084,93,ShopCart,200,OK,Thread Group 1-1,text,true,,289,444,2,2,93,0,0
1536581498178,32,GetJobId,200,OK,Thread Group 1-3,text,true,,391,250,3,3,32,0,22
1536581498177,42,MediaUpload,200,OK,Thread Group 1-1,text,true,,327,102054,3,3,42,0,0
1536581498219,10,GetJobId,200,OK,Thread Group 1-1,text,true,,391,250,3,3,10,0,0
1536581498139,127,ShopCart,200,OK,Thread Group 1-2,text,true,,289,444,3,3,127,0,0
1536581498266,35,MediaUpload,200,OK,Thread Group 1-2,text,true,,327,102049,3,3,35,0,0
1536581498229,86,ShopCart,200,OK,Thread Group 1-1,text,true,,289,444,3,3,86,0,0
1536581498301,27,GetJobId,200,OK,Thread Group 1-2,text,true,,391,250,3,3,27,0,0
1536581498315,71,MediaUpload,200,OK,Thread Group 1-1,text,true,,327,102094,3,3,71,0,0
